date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:31	144637/144637	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html	(from )
20:15:33	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2014:45:35%20GMT	https://demos.codexcoder.com/robots.txt		(from )
20:15:33	1242/1242	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Aug%202021%2017:34:00%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/images/favicon.png	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/images/favicon.png	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:34	155631/155631	---MCZ	200	added ('OK')	text/css	date:Fri,%2014%20May%202021%2003:05:24%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/bootstrap.min.css	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:35	92208/92208	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Aug%202018%2011:59:00%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css//icofont.min.css	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/icofont.min.css	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:35	17010/17010	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2006:51:10%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/lightcase.css	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/lightcase.css	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:36	60283/60283	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2009:41:04%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/animate.css	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/animate.css	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:36	15563/15563	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Dec%202021%2023:10:42%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/swiper-bundle.min.css	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:37	133000/133000	---MCZ	200	added ('OK')	text/css	date:Sat,%2004%20Dec%202021%2022:59:38%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/style.min.css	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/css/style.min.css	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:37	149914/149914	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:12%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/index.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/index.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:38	1311/1311	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Aug%202021%2019:57:20%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/assets/images/logo/logo.png	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/assets/images/logo/logo.png	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:38	116275/116275	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-2.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/index-2.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:39	125620/125620	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-4.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/index-4.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:39	83709/83709	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2023:06:18%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/explore.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/explore.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:40	82798/82798	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2023:06:16%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/auction.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/auction.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:40	29132/29132	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/activity.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/activity.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:40	40860/40860	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/blog.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/blog.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:41	47303/47303	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/blog-2.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/blog-2.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:41	47316/47316	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/blog-3.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/blog-3.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:42	39975/39975	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/blog-single.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/blog-single.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:42	40119/40119	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:14%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/blog-single-2.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/blog-single-2.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:42	30928/30928	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2023:34:12%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/item-details.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/item-details.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
20:15:43	68604/68604	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2023:06:16%20GMT	https://demos.codexcoder.com/labartisan/html/nft/enftomark/all-authors.html	C:/My%20Web%20Sites/floki%20place/demos.codexcoder.com/labartisan/html/nft/enftomark/all-authors.html	(from https://demos.codexcoder.com/labartisan/html/nft/enftomark/index-3.html)
